MUNICIPIO	CODIGO INE	POBLACION	MEDIA DE PARADOS	RENTAS NETAS DECLARADAS	ADSL	COBERTURA ADSL 10 Mbps	COBERTURA FIBRA	COBERTURA INALAMBRICAS 30 Mbps	COBERTURA LTE 4G
Senés	04082	311	23,99999999	426970	0	Entre 10 y 20	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Serón	04083	2290	189,3333333	9593398	278	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 20 y 30
Sierro	04084	436	44,58333334	1447050	0	Entre 70 y 80	Entre 0 y 10	Entre 80 y 90	Entre 80 y 90
Somontín	04085	521	36,5	1739177	51	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 0 y 10
Sorbas	04086	2765	255,0833333	8776837	248	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 30 y 40
Suflí	04087	251	25,00000001	443183	29	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 70 y 80
Tabernas	04088	3696	477	11342048	522	Entre 20 y 30	Entre 0 y 10	Entre 90 y 100	Entre 50 y 60
Taberno	04089	1130	69,91666671	3278978	39	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Tahal	04090	441	30,49999999	861706	0	Entre 0 y 10	Entre 0 y 10	Entre 70 y 80	Entre 80 y 90
Terque	04091	456	39,00000001	1481652	36	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Tíjola	04092	3840	394,3333333	17627636	567	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Tres Villas (Las)	04901	603	33,16666667	1471678	27	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Turre	04093	3960	403,8333333	11216225	496	Entre 50 y 60	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Turrillas	04094	243	11,74999999	449742	1	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 80 y 90
Uleila del Campo	04095	963	107,25	2719100	106	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50
Urrácal	04096	329	30,16666664	1140610	39	Entre 90 y 100	Entre 0 y 10	Entre 70 y 80	Entre 90 y 100
Velefique	04097	292	13,08333332	374375	0	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100	Entre 80 y 90
Vélez-Blanco	04098	2066	105,3333334	7860642	229	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50
Vélez-Rubio	04099	6841	559,6666667	33075894	1014	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 80 y 90
Vera	04100	15424	1428,5	76257194	2833	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Viator	04101	5600	721,25	25669355	1436	Entre 80 y 90	Entre 60 y 70	Entre 80 y 90	Entre 90 y 100
Vícar	04102	24233	2844,916667	92755401	1752	Entre 80 y 90	Entre 10 y 20	Entre 90 y 100	Entre 90 y 100
Zurgena	04103	3201	219,75	10338966	228	Entre 60 y 70	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Alcalá de los Gazules	11001	5439	992,3333333	21733777	644	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alcalá del Valle	11002	5261	427,8333333	17252901	202	Entre 90 y 100	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Algar	11003	1478	232,9166667	5607743	114	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Algeciras	11004	114277	17499,16667	844811287	8599	Entre 60 y 70	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Algodonales	11005	5719	712,0833333	19993073	336	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Arcos de la Frontera	11006	31410	6524,75	114161802	2148	Entre 70 y 80	Entre 50 y 60	Entre 0 y 10	Entre 90 y 100
Barbate	11007	22921	4785,166667	81819258	2226	Entre 90 y 100	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Barrios (Los)	11008	22948	3473,916667	159106811	4175	Entre 80 y 90	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
Benalup-Casas Viejas	11901	6991	1536,083333	24722914	693	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Benaocaz	11009	715	112,5833334	2909359	116	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Bornos	11010	8083	1120	25005390	828	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Bosque (El)	11011	2094	304,3333333	10141320	260	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cádiz (capital)	11012	122990	17401,33333	961983374	8476	Entre 80 y 90	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Castellar de la Frontera	11013	3123	500,0833333	12923034	565	Entre 90 y 100	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Chiclana de la Frontera	11015	82212	14251,16667	102303543	7535	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Chipiona	11016	18930	3310,666667	424246807	1643	Entre 70 y 80	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
Conil de la Frontera	11014	22116	2937,833333	59172832	2905	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Espera	11017	3946	535,0833333	12397733	215	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Gastor (El)	11018	1828	256,3333333	6351945	76	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Grazalema	11019	2171	322,25	8598433	327	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Jerez de la Frontera	11020	211670	35588,16667	1212045230	17637	Entre 60 y 70	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Jimena de la Frontera	11021	10412	1444,416667	36742421	1761	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Línea de la Concepción (La)	11022	62697	10650,25	305028117	5841	Entre 80 y 90	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Medina Sidonia	11023	11781	2594,416667	44941010	1299	Entre 80 y 90	Entre 50 y 60	Entre 0 y 10	Entre 90 y 100
Olvera	11024	8397	777,9166667	39246706	771	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Paterna de Rivera	11025	5667	1330,833333	16985242	378	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Prado del Rey	11026	5668	1195,083333	18528828	665	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Puerto de Santa María (El)	11027	89142	12699,16667	593051832	9346	Entre 50 y 60	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100
Puerto Real	11028	41537	7244,75	269483087	2662	Entre 70 y 80	Entre 60 y 70	Entre 70 y 80	Entre 90 y 100
Puerto Serrano	11029	7174	650,9166667	17089743	267	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Rota	11030	29136	4126,333333	177212290	2539	Entre 80 y 90	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
San Fernando	11031	96361	14252,08333	644846120	5846	Entre 80 y 90	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
San José del Valle	11902	4460	739,8333334	264372569	276	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
San Roque	11033	29536	4419,416667	167263309	7785	Entre 70 y 80	Entre 20 y 30	Entre 0 y 10	Entre 90 y 100
Sanlúcar de Barrameda	11032	67301	12228,5	9498113	3260	Entre 70 y 80	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Setenil de las Bodegas	11034	2894	324,8333333	87871469	211	Entre 80 y 90	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Tarifa	11035	18085	2492,083333	2497996	3124	Entre 80 y 90	Entre 40 y 50	Entre 0 y 10	Entre 90 y 100
Torre Alháquime	11036	789	70,1666667	29771241	79	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Trebujena	11037	7089	1106,583333	77517678	880	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Ubrique	11038	16877	3386,583333	44000583	1724	Entre 90 y 100	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Vejer de la Frontera	11039	12882	2588,5	1391814	1365	Entre 70 y 80	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Villaluenga del Rosario	11040	448	53,16666664	47124312	66	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Villamartín	11041	12366	2176,416667	5608744	1172	Entre 90 y 100	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Zahara	11042	1471	168,4166666	13151876	91	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Adamuz	14001	4368	357,25	16066997	274	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Aguilar de la Frontera	14002	13671	1239,75	54501562	1352	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Alcaracejos	14003	1529	202,25	6133497	237	Entre 80 y 90	Entre 0 y 10	Entre 80 y 90	Entre 70 y 80
Almedinilla	14004	2501	177,4166666	9346428	215	Entre 80 y 90	Entre 70 y 80	Entre 0 y 10	Entre 90 y 100
Almodóvar del Río	14005	7997	1167,833333	26493400	1113	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 40 y 50
Añora	14006	1554	206,75	8538654	197	Entre 90 y 100	Entre 10 y 20	Entre 0 y 10	Entre 90 y 100
Baena	14007	20358	1923,416667	80275951	1519	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Belalcázar	14008	3452	487,5833333	12625780	418	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Belmez	14009	3289	530,0833333	16985697	532	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Benamejí	14010	5121	398,5	18579700	464	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10
Blázquez (Los)	14011	721	118,1666667	2595190	133	Entre 90 y 100	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Bujalance	14012	7792	675,5	32139839	1083	Entre 70 y 80	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Cabra	14013	20835	2170,75	110319756	1914	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cañete de las Torres	14014	3087	217,6666667	13272219	543	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Carcabuey	14015	2668	194,25	11679856	498	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Cardeña	14016	1634	151,0833333	5775307	202	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Carlota (La)	14017	13903	1588,833333	59997359	1679	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Carpio (El)	14018	4582	640,8333333	21380834	795	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Castro del Río	14019	8108	591,6666667	34219270	908	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Conquista	14020	455	33,91666666	1773475	62	Entre 70 y 80	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Córdoba (capital)	14021	328704	47017,16667	2487074295	33305	Entre 90 y 100	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Doña Mencía	14022	4982	396,25	20305652	882	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Dos Torres	14023	2494	324,25	11037974	289	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Encinas Reales	14024	2407	247	8542509	236	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 70 y 80
Espejo	14025	3510	173,3333333	15966586	636	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Espiel	14026	2459	363,25	13648748	421	Entre 80 y 90	Entre 90 y 100	Entre 80 y 90	Entre 90 y 100
Fernán-Núñez	14027	9848	1226,333333	50776358	970	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Fuente la Lancha	14028	360	60,25000006	1364153	35	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Fuente Obejuna	14029	5043	904,75	19826134	796	Entre 40 y 50	Entre 0 y 10	Entre 0 y 10	Entre 70 y 80
Fuente Palmera	14030	11112	978,5833333	38640883	992	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Fuente-Tójar	14031	744	49,08333331	2748297	72	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Granjuela (La)	14032	498	87,58333333	2096232	83	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Guadalcázar	14033	1595	173,0833333	6583754	241	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 60 y 70
Guijo (El)	14034	392	50,33333334	1287149	16	Entre 90 y 100	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Hinojosa del Duque	14035	7172	1158,833333	30450128	895	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Hornachuelos	14036	4703	373	17714889	582	Entre 40 y 50	Entre 0 y 10	Entre 60 y 70	Entre 70 y 80
Iznájar	14037	4725	220,5833334	15354588	522	Entre 80 y 90	Entre 50 y 60	Entre 90 y 100	Entre 90 y 100
Lucena	14038	42754	5554,25	190009152	4095	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Luque	14039	3229	274,5833334	13775288	478	Entre 90 y 100	Entre 60 y 70	Entre 0 y 10	Entre 90 y 100
Montalbán de Córdoba	14040	4475	178,9166666	20518605	236	Entre 90 y 100	Entre 10 y 20	Entre 0 y 10	Entre 90 y 100
Montemayor	14041	4069	431,1666667	17377909	137	Entre 80 y 90	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100
Montilla	14042	23752	2771,416667	126854371	2093	Entre 80 y 90	Entre 20 y 30	Entre 0 y 10	Entre 90 y 100
Montoro	14043	9801	1235,333333	40592529	1135	Entre 70 y 80	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Monturque	14044	1990	143,75	7598239	282	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Moriles	14045	3907	388,25	12384150	442	Entre 90 y 100	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Nueva Carteya	14046	5531	299,5833333	18586960	279	Entre 60 y 70	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Obejo	14047	1985	245,75	6857458	314	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Palenciana	14048	1589	85,08333333	5794684	57	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Palma del Río	14049	21582	1809,666667	95042886	1961	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Pedro Abad	14050	2977	464,5	12579314	471	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 10 y 20
Pedroche	14051	1658	190,5833333	6565618	180	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Peñarroya-Pueblonuevo	14052	11600	1961,25	67186454	1355	Entre 90 y 100	Entre 0 y 10	Entre 90 y 100	Entre 90 y 100
Posadas	14053	7554	855,75	30988969	1000	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Pozoblanco	14054	17519	2033,25	113973878	1560	Entre 70 y 80	Entre 20 y 30	Entre 60 y 70	Entre 90 y 100
Priego de Córdoba	14055	23171	2181,333333	101638134	1815	Entre 70 y 80	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Puente Genil	14056	30244	3924,333333	136518308	2072	Entre 90 y 100	Entre 60 y 70	Entre 90 y 100	Entre 90 y 100
Rambla (La)	14057	7580	698,5	32027475	1031	Entre 80 y 90	Entre 10 y 20	Entre 0 y 10	Entre 90 y 100
Rute	14058	10560	753,8333333	45636448	1653	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 50 y 60
San Sebastián de los Ballesteros	14059	840	68,08333332	3940866	152	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Santa Eufemia	14061	916	126	3591948	35	Entre 70 y 80	Entre 50 y 60	Entre 0 y 10	Entre 80 y 90
Santaella	14060	6142	420,1666667	23625518	681	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Torrecampo	14062	1210	149,6666667	5247593	180	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Valenzuela	14063	1289	47,16666664	5342743	230	Entre 0 y 10	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Valsequillo	14064	392	52,08333334	1501413	68	Entre 90 y 100	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Victoria (La)	14065	2385	237	10990479	367	Entre 90 y 100	Entre 80 y 90	Entre 0 y 10	Entre 90 y 100
Villa del Río	14066	7473	905,1666667	28192396	1120	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
Villafranca de Córdoba	14067	4876	627,0833333	23528226	628	Entre 80 y 90	Entre 0 y 10	Entre 0 y 10	Entre 90 y 100
